Author,Journal,Year,Site country,Location,Latitude,Longitude,Soil information recorded in the paper,pH (surface layer),Replications in experiment,Crop,Initial year of NT practice ( or first year of experiment if missing),Sowing year,Harvest year,Years since NT started (yrs),Crop growing season recorded in the paper,Crop rotation with at least 3 crops involved in CT,Crop rotation with at least 3 crops involved in NT,Crop sequence (details),Cover crop before sowing,Soil cover in CT,Soil cover in NT,Residue management of previous crop in CT  (details),Residue management of previous crop in NT (details),Weed and pest control CT,Weed and pest control NT ,Weed and pest control CT (details),Weed and pest control NT  (details),Fertilization CT ,Fertilization NT,N input,N input rates with the unit kg N ha-1 (details),Field fertilization (details),Irrigation CT,Irrigation NT,Water applied in CT,Water applied in NT,Other information,Yield of CT,Yield of NT,Relative yield change,Yield increase with NT,Outlier of CT,Outlier of NT,Sowing month,Harvesting month,P,E,PB,Tave,Tmax,Tmin,ST
Li,Field Crops Research,2018,China,Lanzhou,35.65,107.85,sandy loam,,4,soybean,2001,2005,2005,5,6 to 10,Yes,Yes,spring maize- winter wheat- summer soybean,,No,No,removed,removed,Yes,Yes,hand weeding + herbicide,hand weeding + herbicide,Yes,Yes,No,,63 kg ha-1 calcium ,No,No,,,"A 7-yr tillage × residual straw mulching study was conducted in a spring maize-winter wheat-summer soybean rotation system at the Qingyang Loess Plateau Research Station of Lanzhou University (35°39′N, 107°51′E; elevation 1298m) from 2001 to 2007. The average long-term annual temperature ranges from 8 to 10 °C. The minimum and maximum temperatures are 39 °C and −22.4 °C, respectively. Mean annual accumulated heat unit is 3446 ° days. The growing season for major warm-season crops extends from March to October for about 255 days with 110 frost-free days on average. Annual precipitation is between 480–660 mm, and average annual pan evaporation is 1504 mm. The dominant soil type is sandy loam. All plots were hand-weeded periodically throughout the growing season and a one-time broadcast application of 3 kg ha−1 a.i. of Triadimefon [1-(4-Chlorophenoxy)-3,3- dimethyl-1-(1H-1,2,4-triazol-1-yl)-2-butanone] was used in 2003 for an insect outbreak. Maize was harvested manually in September and the remaining stalks were removed from the field by hand (T and NT) or shredded into 15-cm long pieces using a corn stalk shredder and returned evenly back to the original plots (TS and NTS). ‘Xifeng NO.24’ winter wheat was planted in late September immediately after maize harvest using a ‘Jinniu 2BF’ no-till drill (Jinniu Manufacturing Co., Qingyang, Gansu Province, China) under no-till treatments (NT and NTS) or a Xingnong drill (Xiguan Manufacturing Co., Baoji, Shanxi Province, China) after tillage treatments (T and TS). The seeding rate was 187 kg ha−1 PLS with a row spacing of 0.15 m. Starter fertilizer (diammonium phosphate) was applied at a rate of 300 kg ha−1 below the seed using a fertilizer coulter attached to the drill. Urea fertilizer was surface-broadcasted by hand at a rate of 150 kg ha−1 at the green-up stage. Last but not the least, the entire study was conducted on a rainfed system, therefore, no irrigation was included. ",1170,1250,0.0684,Yes,,,3,8,408.3,486.98,-78.679,17.96667,29.6094,1.26928,Loam
Li,Field Crops Research,2018,China,Lanzhou,35.65,107.85,sandy loam,,4,soybean,2001,2007,2007,7,6 to 10,Yes,Yes,spring maize- winter wheat- summer soybean,,No,Yes,removed,stalk removed but stubble left,Yes,Yes,hand weeding + herbicide,hand weeding + herbicide,Yes,Yes,No,,63 kg ha-1 calcium ,No,No,,,"A 7-yr tillage × residual straw mulching study was conducted in a spring maize-winter wheat-summer soybean rotation system at the Qingyang Loess Plateau Research Station of Lanzhou University (35°39′N, 107°51′E; elevation 1298m) from 2001 to 2007. The average long-term annual temperature ranges from 8 to 10 °C. The minimum and maximum temperatures are 39 °C and −22.4 °C, respectively. Mean annual accumulated heat unit is 3446 ° days. The growing season for major warm-season crops extends from March to October for about 255 days with 110 frost-free days on average. Annual precipitation is between 480–660 mm, and average annual pan evaporation is 1504 mm. The dominant soil type is sandy loam. All plots were hand-weeded periodically throughout the growing season and a one-time broadcast application of 3 kg ha−1 a.i. of Triadimefon [1-(4-Chlorophenoxy)-3,3- dimethyl-1-(1H-1,2,4-triazol-1-yl)-2-butanone] was used in 2003 for an insect outbreak. Maize was harvested manually in September and the remaining stalks were removed from the field by hand (T and NT) or shredded into 15-cm long pieces using a corn stalk shredder and returned evenly back to the original plots (TS and NTS). ‘Xifeng NO.24’ winter wheat was planted in late September immediately after maize harvest using a ‘Jinniu 2BF’ no-till drill (Jinniu Manufacturing Co., Qingyang, Gansu Province, China) under no-till treatments (NT and NTS) or a Xingnong drill (Xiguan Manufacturing Co., Baoji, Shanxi Province, China) after tillage treatments (T and TS). The seeding rate was 187 kg ha−1 PLS with a row spacing of 0.15 m. Starter fertilizer (diammonium phosphate) was applied at a rate of 300 kg ha−1 below the seed using a fertilizer coulter attached to the drill. Urea fertilizer was surface-broadcasted by hand at a rate of 150 kg ha−1 at the green-up stage. Last but not the least, the entire study was conducted on a rainfed system, therefore, no irrigation was included. ",970,1070,0.1031,Yes,,,3,8,382.9,501.467,-118.567,17.61667,27.68238,2.36357,Loam
Li,Field Crops Research,2018,China,Lanzhou,35.65,107.85,sandy loam,,4,soybean,2001,2001,2001,1,6 to 11,No,No,start with summer soybean in 2001,,,,,,Yes,Yes,hand weeding + herbicide,hand weeding + herbicide,Yes,Yes,No,,63 kg ha-1 calcium ,No,No,,,"A 7-yr tillage × residual straw mulching study was conducted in a spring maize-winter wheat-summer soybean rotation system at the Qingyang Loess Plateau Research Station of Lanzhou University (35°39′N, 107°51′E; elevation 1298m) from 2001 to 2007. The average long-term annual temperature ranges from 8 to 10 °C. The minimum and maximum temperatures are 39 °C and −22.4 °C, respectively. Mean annual accumulated heat unit is 3446 ° days. The growing season for major warm-season crops extends from March to October for about 255 days with 110 frost-free days on average. Annual precipitation is between 480–660 mm, and average annual pan evaporation is 1504 mm. The dominant soil type is sandy loam. All plots were hand-weeded periodically throughout the growing season and a one-time broadcast application of 3 kg ha−1 a.i. of Triadimefon [1-(4-Chlorophenoxy)-3,3- dimethyl-1-(1H-1,2,4-triazol-1-yl)-2-butanone] was used in 2003 for an insect outbreak. Maize was harvested manually in September and the remaining stalks were removed from the field by hand (T and NT) or shredded into 15-cm long pieces using a corn stalk shredder and returned evenly back to the original plots (TS and NTS). ‘Xifeng NO.24’ winter wheat was planted in late September immediately after maize harvest using a ‘Jinniu 2BF’ no-till drill (Jinniu Manufacturing Co., Qingyang, Gansu Province, China) under no-till treatments (NT and NTS) or a Xingnong drill (Xiguan Manufacturing Co., Baoji, Shanxi Province, China) after tillage treatments (T and TS). The seeding rate was 187 kg ha−1 PLS with a row spacing of 0.15 m. Starter fertilizer (diammonium phosphate) was applied at a rate of 300 kg ha−1 below the seed using a fertilizer coulter attached to the drill. Urea fertilizer was surface-broadcasted by hand at a rate of 150 kg ha−1 at the green-up stage. Last but not the least, the entire study was conducted on a rainfed system, therefore, no irrigation was included. ",2010,2110,0.0498,Yes,,,3,8,320.8,489.299,-168.499,17.8,29.09027,2.10085,Loam
Li,Field Crops Research,2018,China,Lanzhou,35.65,107.85,sandy loam,,4,soybean,2001,2003,2003,3,6 to 10,Yes,Yes,spring maize- winter wheat- summer soybean,,No,Yes,incorporated,stalk shredded then returned,Yes,Yes,hand weeding + herbicide,hand weeding + herbicide,Yes,Yes,No,,63 kg ha-1 calcium ,No,No,,,"A 7-yr tillage × residual straw mulching study was conducted in a spring maize-winter wheat-summer soybean rotation system at the Qingyang Loess Plateau Research Station of Lanzhou University (35°39′N, 107°51′E; elevation 1298m) from 2001 to 2007. The average long-term annual temperature ranges from 8 to 10 °C. The minimum and maximum temperatures are 39 °C and −22.4 °C, respectively. Mean annual accumulated heat unit is 3446 ° days. The growing season for major warm-season crops extends from March to October for about 255 days with 110 frost-free days on average. Annual precipitation is between 480–660 mm, and average annual pan evaporation is 1504 mm. The dominant soil type is sandy loam. All plots were hand-weeded periodically throughout the growing season and a one-time broadcast application of 3 kg ha−1 a.i. of Triadimefon [1-(4-Chlorophenoxy)-3,3- dimethyl-1-(1H-1,2,4-triazol-1-yl)-2-butanone] was used in 2003 for an insect outbreak. Maize was harvested manually in September and the remaining stalks were removed from the field by hand (T and NT) or shredded into 15-cm long pieces using a corn stalk shredder and returned evenly back to the original plots (TS and NTS). ‘Xifeng NO.24’ winter wheat was planted in late September immediately after maize harvest using a ‘Jinniu 2BF’ no-till drill (Jinniu Manufacturing Co., Qingyang, Gansu Province, China) under no-till treatments (NT and NTS) or a Xingnong drill (Xiguan Manufacturing Co., Baoji, Shanxi Province, China) after tillage treatments (T and TS). The seeding rate was 187 kg ha−1 PLS with a row spacing of 0.15 m. Starter fertilizer (diammonium phosphate) was applied at a rate of 300 kg ha−1 below the seed using a fertilizer coulter attached to the drill. Urea fertilizer was surface-broadcasted by hand at a rate of 150 kg ha−1 at the green-up stage. Last but not the least, the entire study was conducted on a rainfed system, therefore, no irrigation was included. ",1240,1180,-0.0484,No,,,3,8,546.2,479.811,66.389,16.71667,28.3571,1.87061,Loam
Li,Field Crops Research,2018,China,Lanzhou,35.65,107.85,sandy loam,,4,soybean,2001,2005,2005,5,6 to 10,Yes,Yes,spring maize- winter wheat- summer soybean,,No,Yes,incorporated,stalk shredded then returned,Yes,Yes,hand weeding + herbicide,hand weeding + herbicide,Yes,Yes,No,,63 kg ha-1 calcium ,No,No,,,"A 7-yr tillage × residual straw mulching study was conducted in a spring maize-winter wheat-summer soybean rotation system at the Qingyang Loess Plateau Research Station of Lanzhou University (35°39′N, 107°51′E; elevation 1298m) from 2001 to 2007. The average long-term annual temperature ranges from 8 to 10 °C. The minimum and maximum temperatures are 39 °C and −22.4 °C, respectively. Mean annual accumulated heat unit is 3446 ° days. The growing season for major warm-season crops extends from March to October for about 255 days with 110 frost-free days on average. Annual precipitation is between 480–660 mm, and average annual pan evaporation is 1504 mm. The dominant soil type is sandy loam. All plots were hand-weeded periodically throughout the growing season and a one-time broadcast application of 3 kg ha−1 a.i. of Triadimefon [1-(4-Chlorophenoxy)-3,3- dimethyl-1-(1H-1,2,4-triazol-1-yl)-2-butanone] was used in 2003 for an insect outbreak. Maize was harvested manually in September and the remaining stalks were removed from the field by hand (T and NT) or shredded into 15-cm long pieces using a corn stalk shredder and returned evenly back to the original plots (TS and NTS). ‘Xifeng NO.24’ winter wheat was planted in late September immediately after maize harvest using a ‘Jinniu 2BF’ no-till drill (Jinniu Manufacturing Co., Qingyang, Gansu Province, China) under no-till treatments (NT and NTS) or a Xingnong drill (Xiguan Manufacturing Co., Baoji, Shanxi Province, China) after tillage treatments (T and TS). The seeding rate was 187 kg ha−1 PLS with a row spacing of 0.15 m. Starter fertilizer (diammonium phosphate) was applied at a rate of 300 kg ha−1 below the seed using a fertilizer coulter attached to the drill. Urea fertilizer was surface-broadcasted by hand at a rate of 150 kg ha−1 at the green-up stage. Last but not the least, the entire study was conducted on a rainfed system, therefore, no irrigation was included. ",2070,1500,-0.2754,No,,,3,8,408.3,486.98,-78.679,17.96667,29.6094,1.26928,Loam
Li,Field Crops Research,2018,China,Lanzhou,35.65,107.85,sandy loam,,4,soybean,2001,2007,2007,7,6 to 10,Yes,Yes,spring maize- winter wheat- summer soybean,,No,Yes,incorporated,stalk shredded then returned,Yes,Yes,hand weeding + herbicide,hand weeding + herbicide,Yes,Yes,No,,63 kg ha-1 calcium ,No,No,,,"A 7-yr tillage × residual straw mulching study was conducted in a spring maize-winter wheat-summer soybean rotation system at the Qingyang Loess Plateau Research Station of Lanzhou University (35°39′N, 107°51′E; elevation 1298m) from 2001 to 2007. The average long-term annual temperature ranges from 8 to 10 °C. The minimum and maximum temperatures are 39 °C and −22.4 °C, respectively. Mean annual accumulated heat unit is 3446 ° days. The growing season for major warm-season crops extends from March to October for about 255 days with 110 frost-free days on average. Annual precipitation is between 480–660 mm, and average annual pan evaporation is 1504 mm. The dominant soil type is sandy loam. All plots were hand-weeded periodically throughout the growing season and a one-time broadcast application of 3 kg ha−1 a.i. of Triadimefon [1-(4-Chlorophenoxy)-3,3- dimethyl-1-(1H-1,2,4-triazol-1-yl)-2-butanone] was used in 2003 for an insect outbreak. Maize was harvested manually in September and the remaining stalks were removed from the field by hand (T and NT) or shredded into 15-cm long pieces using a corn stalk shredder and returned evenly back to the original plots (TS and NTS). ‘Xifeng NO.24’ winter wheat was planted in late September immediately after maize harvest using a ‘Jinniu 2BF’ no-till drill (Jinniu Manufacturing Co., Qingyang, Gansu Province, China) under no-till treatments (NT and NTS) or a Xingnong drill (Xiguan Manufacturing Co., Baoji, Shanxi Province, China) after tillage treatments (T and TS). The seeding rate was 187 kg ha−1 PLS with a row spacing of 0.15 m. Starter fertilizer (diammonium phosphate) was applied at a rate of 300 kg ha−1 below the seed using a fertilizer coulter attached to the drill. Urea fertilizer was surface-broadcasted by hand at a rate of 150 kg ha−1 at the green-up stage. Last but not the least, the entire study was conducted on a rainfed system, therefore, no irrigation was included. ",1400,1790,0.2786,Yes,,,3,8,382.9,501.467,-118.567,17.61667,27.68238,2.36357,Loam
Li,Field Crops Research,2018,China,Lanzhou,35.65,107.85,sandy loam,,4,wheat.winter,2001,2002,2003,2,9 to 6,Yes,Yes,spring maize- winter wheat- summer soybean,,No,No,removed,removed,Yes,Yes,hand weeding + herbicide,hand weeding + herbicide,Yes,Yes,Yes,,300 kg ha-1 Urea + 150 kg ha-1 diammonium phosphate,No,No,,,"A 7-yr tillage × residual straw mulching study was conducted in a spring maize-winter wheat-summer soybean rotation system at the Qingyang Loess Plateau Research Station of Lanzhou University (35°39′N, 107°51′E; elevation 1298m) from 2001 to 2007. The average long-term annual temperature ranges from 8 to 10 °C. The minimum and maximum temperatures are 39 °C and −22.4 °C, respectively. Mean annual accumulated heat unit is 3446 ° days. The growing season for major warm-season crops extends from March to October for about 255 days with 110 frost-free days on average. Annual precipitation is between 480–660 mm, and average annual pan evaporation is 1504 mm. The dominant soil type is sandy loam. All plots were hand-weeded periodically throughout the growing season and a one-time broadcast application of 3 kg ha−1 a.i. of Triadimefon [1-(4-Chlorophenoxy)-3,3- dimethyl-1-(1H-1,2,4-triazol-1-yl)-2-butanone] was used in 2003 for an insect outbreak. Maize was harvested manually in September and the remaining stalks were removed from the field by hand (T and NT) or shredded into 15-cm long pieces using a corn stalk shredder and returned evenly back to the original plots (TS and NTS). ‘Xifeng NO.24’ winter wheat was planted in late September immediately after maize harvest using a ‘Jinniu 2BF’ no-till drill (Jinniu Manufacturing Co., Qingyang, Gansu Province, China) under no-till treatments (NT and NTS) or a Xingnong drill (Xiguan Manufacturing Co., Baoji, Shanxi Province, China) after tillage treatments (T and TS). The seeding rate was 187 kg ha−1 PLS with a row spacing of 0.15 m. Starter fertilizer (diammonium phosphate) was applied at a rate of 300 kg ha−1 below the seed using a fertilizer coulter attached to the drill. Urea fertilizer was surface-broadcasted by hand at a rate of 150 kg ha−1 at the green-up stage. Last but not the least, the entire study was conducted on a rainfed system, therefore, no irrigation was included. ",3360,3330,-0.0089,No,,,9,6,500.7,561.351,-60.651,11.35,28.3571,-5.82251,Loam
Li,Field Crops Research,2018,China,Lanzhou,35.65,107.85,sandy loam,,4,wheat.winter,2001,2006,2007,6,9 to 6,Yes,Yes,spring maize- winter wheat- summer soybean,,No,No,removed,removed,Yes,Yes,hand weeding + herbicide,hand weeding + herbicide,Yes,Yes,Yes,,300 kg ha-1 Urea + 150 kg ha-1 diammonium phosphate,No,No,,,"A 7-yr tillage × residual straw mulching study was conducted in a spring maize-winter wheat-summer soybean rotation system at the Qingyang Loess Plateau Research Station of Lanzhou University (35°39′N, 107°51′E; elevation 1298m) from 2001 to 2007. The average long-term annual temperature ranges from 8 to 10 °C. The minimum and maximum temperatures are 39 °C and −22.4 °C, respectively. Mean annual accumulated heat unit is 3446 ° days. The growing season for major warm-season crops extends from March to October for about 255 days with 110 frost-free days on average. Annual precipitation is between 480–660 mm, and average annual pan evaporation is 1504 mm. The dominant soil type is sandy loam. All plots were hand-weeded periodically throughout the growing season and a one-time broadcast application of 3 kg ha−1 a.i. of Triadimefon [1-(4-Chlorophenoxy)-3,3- dimethyl-1-(1H-1,2,4-triazol-1-yl)-2-butanone] was used in 2003 for an insect outbreak. Maize was harvested manually in September and the remaining stalks were removed from the field by hand (T and NT) or shredded into 15-cm long pieces using a corn stalk shredder and returned evenly back to the original plots (TS and NTS). ‘Xifeng NO.24’ winter wheat was planted in late September immediately after maize harvest using a ‘Jinniu 2BF’ no-till drill (Jinniu Manufacturing Co., Qingyang, Gansu Province, China) under no-till treatments (NT and NTS) or a Xingnong drill (Xiguan Manufacturing Co., Baoji, Shanxi Province, China) after tillage treatments (T and TS). The seeding rate was 187 kg ha−1 PLS with a row spacing of 0.15 m. Starter fertilizer (diammonium phosphate) was applied at a rate of 300 kg ha−1 below the seed using a fertilizer coulter attached to the drill. Urea fertilizer was surface-broadcasted by hand at a rate of 150 kg ha−1 at the green-up stage. Last but not the least, the entire study was conducted on a rainfed system, therefore, no irrigation was included. ",3860,2910,-0.2461,No,,,9,6,404.3,564.901,-160.601,11.98,27.01016,-5.64472,Loam
Li,Field Crops Research,2018,China,Lanzhou,35.65,107.85,sandy loam,,4,wheat.winter,2001,2002,2003,2,9 to 6,Yes,Yes,spring maize- winter wheat- summer soybean,,No,Yes,incorporated,stalk shredded then returned,Yes,Yes,hand weeding + herbicide,hand weeding + herbicide,Yes,Yes,Yes,,300 kg ha-1 Urea + 150 kg ha-1 diammonium phosphate,No,No,,,"A 7-yr tillage × residual straw mulching study was conducted in a spring maize-winter wheat-summer soybean rotation system at the Qingyang Loess Plateau Research Station of Lanzhou University (35°39′N, 107°51′E; elevation 1298m) from 2001 to 2007. The average long-term annual temperature ranges from 8 to 10 °C. The minimum and maximum temperatures are 39 °C and −22.4 °C, respectively. Mean annual accumulated heat unit is 3446 ° days. The growing season for major warm-season crops extends from March to October for about 255 days with 110 frost-free days on average. Annual precipitation is between 480–660 mm, and average annual pan evaporation is 1504 mm. The dominant soil type is sandy loam. All plots were hand-weeded periodically throughout the growing season and a one-time broadcast application of 3 kg ha−1 a.i. of Triadimefon [1-(4-Chlorophenoxy)-3,3- dimethyl-1-(1H-1,2,4-triazol-1-yl)-2-butanone] was used in 2003 for an insect outbreak. Maize was harvested manually in September and the remaining stalks were removed from the field by hand (T and NT) or shredded into 15-cm long pieces using a corn stalk shredder and returned evenly back to the original plots (TS and NTS). ‘Xifeng NO.24’ winter wheat was planted in late September immediately after maize harvest using a ‘Jinniu 2BF’ no-till drill (Jinniu Manufacturing Co., Qingyang, Gansu Province, China) under no-till treatments (NT and NTS) or a Xingnong drill (Xiguan Manufacturing Co., Baoji, Shanxi Province, China) after tillage treatments (T and TS). The seeding rate was 187 kg ha−1 PLS with a row spacing of 0.15 m. Starter fertilizer (diammonium phosphate) was applied at a rate of 300 kg ha−1 below the seed using a fertilizer coulter attached to the drill. Urea fertilizer was surface-broadcasted by hand at a rate of 150 kg ha−1 at the green-up stage. Last but not the least, the entire study was conducted on a rainfed system, therefore, no irrigation was included. ",2900,3070,0.0586,Yes,,,9,6,500.7,561.351,-60.651,11.35,28.3571,-5.82251,Loam
Li,Field Crops Research,2018,China,Lanzhou,35.65,107.85,sandy loam,,4,wheat.winter,2001,2006,2007,6,9 to 6,Yes,Yes,spring maize- winter wheat- summer soybean,,No,Yes,incorporated,stalk shredded then returned,Yes,Yes,hand weeding + herbicide,hand weeding + herbicide,Yes,Yes,Yes,,300 kg ha-1 Urea + 150 kg ha-1 diammonium phosphate,No,No,,,"A 7-yr tillage × residual straw mulching study was conducted in a spring maize-winter wheat-summer soybean rotation system at the Qingyang Loess Plateau Research Station of Lanzhou University (35°39′N, 107°51′E; elevation 1298m) from 2001 to 2007. The average long-term annual temperature ranges from 8 to 10 °C. The minimum and maximum temperatures are 39 °C and −22.4 °C, respectively. Mean annual accumulated heat unit is 3446 ° days. The growing season for major warm-season crops extends from March to October for about 255 days with 110 frost-free days on average. Annual precipitation is between 480–660 mm, and average annual pan evaporation is 1504 mm. The dominant soil type is sandy loam. All plots were hand-weeded periodically throughout the growing season and a one-time broadcast application of 3 kg ha−1 a.i. of Triadimefon [1-(4-Chlorophenoxy)-3,3- dimethyl-1-(1H-1,2,4-triazol-1-yl)-2-butanone] was used in 2003 for an insect outbreak. Maize was harvested manually in September and the remaining stalks were removed from the field by hand (T and NT) or shredded into 15-cm long pieces using a corn stalk shredder and returned evenly back to the original plots (TS and NTS). ‘Xifeng NO.24’ winter wheat was planted in late September immediately after maize harvest using a ‘Jinniu 2BF’ no-till drill (Jinniu Manufacturing Co., Qingyang, Gansu Province, China) under no-till treatments (NT and NTS) or a Xingnong drill (Xiguan Manufacturing Co., Baoji, Shanxi Province, China) after tillage treatments (T and TS). The seeding rate was 187 kg ha−1 PLS with a row spacing of 0.15 m. Starter fertilizer (diammonium phosphate) was applied at a rate of 300 kg ha−1 below the seed using a fertilizer coulter attached to the drill. Urea fertilizer was surface-broadcasted by hand at a rate of 150 kg ha−1 at the green-up stage. Last but not the least, the entire study was conducted on a rainfed system, therefore, no irrigation was included. ",4090,3730,-0.088,No,,,9,6,404.3,564.901,-160.601,11.98,27.01016,-5.64472,Loam
Li and Ming ,Procedia Environmental Sciences,2011,China,"Henan Province, Henan University",33.58,112.98,loam, ,3,wheat.winter,2004,2004,2005,1,10 to,No,No,wheat harvest in May 2004 then fallow before the start of this experiment in October,,No,Yes,"straw removed but stubble retained, then incorporated",retained,,,,,Yes,Yes,Yes,135,N + 135 kg P2O5 ha-1 + 75 kg K2O ha-1,No,No,,,"field experiment was conducted at a farm belonging to Henan University of science and technology, Henan Province, China (33°35/ N, 112°59/ E) during the wheat-growing season (October to May) of 2004 to 2005. The experimental field was dryland and the previous winter wheat was harvested on the 25 May 2004 and followed by a summer fallow. The soil of the field was loam soil [Typic fluvaquents, Entisols (US taxonomy)] with 19.9 g kg-1 organic matter, 65.27 mg kg-1 alkali-hydrolysis N, 5.98 mg kg-1 Olsen-P, and 120.0 mg kg-1 exchangeable K. Four treatments in this experiment were as follows: Once deep plowing tillage (DT), no tillage (NT), subsoiling tillage (ST), and conventional tillage (CT). DT: The 10-15cm high stubble was reserved with all straw removed at previous wheat harvest, and plowed to a depth of 25-30cm, raked mill 5-8cm simultaneity on 1 July 2004; NT: The 30cm high stubble was reserved and all the straw was returned; ST: The 30cm high stubble was reserved, all the straw was returned and subsoil in rows spaced at 60cm apart to depth of 30-35cm on 1 July 2004; CT: The 5-6cm high stubble was reserved with all the straw removed, and plowed to a depth of 25cm at 1 July and preseeding in 2004. In the field experiment, the winter wheat (cv. Luoyang9769) was sown with 2.4×106 basic seedlings per hectare. N (135kg hm-2), P2O5 (135kg hm-2), and K2O (75kg hm-2) were applied in all treatments, and incorporated into soil before seeding. 350mm precipitation during the summer fallow and 124.5mm during wheat growing season were monitored. There was no irrigation during the whole experimental period. ",5245,5291,0.0088,Yes,,,9,6,737.3,651.241,86.059,15.04,32.61318,-3.45115,Clay loam
Licht and Al-Kaisi,Agronomy Journal,2005,USA,"Iowa, Ames (Marsden Iowa State University research farm)",42.02,-93.78,loam and silty clay loam, ,4,maize,2000,2001,2001,2,5 to,No,No,maize-soybean rotation start in 2000,,No,Yes,incorporated,retained,Yes,Yes,herbicide,herbicide,Yes,Yes,Yes,170,ammonium nitrate,,,,,"Weeds were controlled by using pre- and post emergence herbicides. Based on soil test results, P and K fertilizers were not applied. Starter fertilizer was not applied. Continuous corn and corn–soybean rotation. At Nashua, a four-row anhydrous fertilizer injector consisting of a mole knife between two 51-cm hiller disks was used to perform ST. As for NT, the only field operations performed were seed planting and N fertilizer application. At Ames, the liquid urea ammonium nitrate (32–00) was applied using a spoke point injector. for NT treatment while at Nashua, anhydrous ammonia was applied using a modified toolbar equipped with slot injectors. corn (Fontenelle 4741) was planted on 6 May 2002 at seed drop populations of 79 000 plants ha-1. ",12100,11500,-0.0496,No,,,5,10,601.3,536.967,64.333,18.46667,30.39688,4.97461,Loam
Licht and Al-Kaisi,Agronomy Journal,2005,USA,"Iowa, Ames (Marsden Iowa State University research farm)",42.02,-93.78,loam and silty clay loam, ,4,maize,2000,2002,2002,3,5 to,No,No,maize-soybean rotation start in 2001,,No,Yes,incorporated,retained,Yes,Yes,herbicide,herbicide,Yes,Yes,Yes,171,ammonium nitrate,,,,,"Weeds were controlled by using pre- and post emergence herbicides. Based on soil test results, P and K fertilizers were not applied. Starter fertilizer was not applied. Continuous corn and corn–soybean rotation. At Nashua, a four-row anhydrous fertilizer injector consisting of a mole knife between two 51-cm hiller disks was used to perform ST. As for NT, the only field operations performed were seed planting and N fertilizer application. At Ames, the liquid urea ammonium nitrate (32–00) was applied using a spoke point injector. for NT treatment while at Nashua, anhydrous ammonia was applied using a modified toolbar equipped with slot injectors. corn (Fontenelle 4741) was planted on 6 May 2002 at seed drop populations of 79 000 plants ha-1. ",14800,14100,-0.0473,No,,,5,10,661.8,547.844,113.956,18.46667,31.42917,3.25536,Loam
Licht and Al-Kaisi,Agronomy Journal,2005,USA,"Iowa, Nashua (Northeast Research and Demonstration Farm)",42.94,-92.57,loam, ,4,maize,2001,2001,2001,1,5 to,No,No,maize-soybean rotation start in 2002,,No,Yes,incorporated,retained,Yes,Yes,herbicide,herbicide,Yes,Yes,Yes,172,ammonium nitrate,,,,,"Weeds were controlled by using pre- and post emergence herbicides. Based on soil test results, P and K fertilizers were not applied. Starter fertilizer was not applied. Continuous corn and corn–soybean rotation. At Nashua, a four-row anhydrous fertilizer injector consisting of a mole knife between two 51-cm hiller disks was used to perform ST. As for NT, the only field operations performed were seed planting and N fertilizer application. At Ames, the liquid urea ammonium nitrate (32–00) was applied using a spoke point injector. for NT treatment while at Nashua, anhydrous ammonia was applied using a modified toolbar equipped with slot injectors. corn (Fontenelle 4741) was planted on 6 May 2002 at seed drop populations of 79 000 plants ha-1. ",13800,13500,-0.0217,No,,,5,10,596.2,511.465,84.735,18.23333,29.03451,3.64107,Loam
Licht and Al-Kaisi,Agronomy Journal,2005,USA,"Iowa, Nashua (Northeast Research and Demonstration Farm)",42.94,-92.57,loam, ,4,maize,2001,2002,2002,2,5 to,No,No,maize-soybean rotation start in 2003,,No,Yes,incorporated,retained,Yes,Yes,herbicide,herbicide,Yes,Yes,Yes,173,ammonium nitrate,,,,,"Weeds were controlled by using pre- and post emergence herbicides. Based on soil test results, P and K fertilizers were not applied. Starter fertilizer was not applied. Continuous corn and corn–soybean rotation. At Nashua, a four-row anhydrous fertilizer injector consisting of a mole knife between two 51-cm hiller disks was used to perform ST. As for NT, the only field operations performed were seed planting and N fertilizer application. At Ames, the liquid urea ammonium nitrate (32–00) was applied using a spoke point injector. for NT treatment while at Nashua, anhydrous ammonia was applied using a modified toolbar equipped with slot injectors. corn (Fontenelle 4741) was planted on 6 May 2002 at seed drop populations of 79 000 plants ha-1. ",13100,14900,0.1374,Yes,,,5,10,527.2,517.26,9.94,18.26667,29.90518,2.11911,Loam
